HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Answer.cb_desc,Answer.in_cb,Answer.web_url,Approve,Reject
3KA7IJSNW7CRH19OLBG9R15XA4SPBI,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3HWRJOOET7APOGZUDLRUBYBD0S6SEJ,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:32:54 PDT 2017,Thu Apr 06 08:36:58 PDT 2017,Fri Apr 07 08:36:58 PDT 2017,,,,244,100% (3/3),100% (3/3),100% (3/3),mtv,"MTV Networks, a division of Viacom, is one of the world's leading creators of entertainment content, with brands that engage and connect diverse audiences across television, online, mobile, games, virtual worlds and consumer products. The company's portfolio spans more than 150 television channels and 400 digital media properties worldwide, and includes MTV, VH1, CMT, Logo, Harmonix, Nickelodeon, Nick at Nite, Nick Jr., TeenNick, AddictingGames, Shockwave, Neopets, COMEDY CENTRAL, SPIKE, TV Land, Atom, GameTrailers and Xfire.",,https://www.crunchbase.com/organization/mtv-networks,,
3LN3BXKGC12DSRE0DJMIK64QJENWG1,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3WQQ9FUS6C29YT81PWJZTZ5RL1M8BZ,ADLYO655RWJUI,Submitted,Thu Apr 06 08:31:32 PDT 2017,Thu Apr 06 08:32:54 PDT 2017,Fri Apr 07 08:32:54 PDT 2017,,,,82,0% (0/0),0% (0/0),0% (0/0),nestle,"Our main events and publications such as Results, Annual Reports and highlights of the year in infographics, stop motion and animation videos.",,https://www.crunchbase.com/organization/nestl,,
37SDSEDINA95YBSFXXL9Z3XYZI218S,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3ATPCQ38JAIJUPURWMHXX19NWY4YA8,A3F6SDO4GYBE4Y,Submitted,Thu Apr 06 08:37:07 PDT 2017,Thu Apr 06 08:37:45 PDT 2017,Fri Apr 07 08:37:45 PDT 2017,,,,38,0% (0/0),0% (0/0),0% (0/0),paypal,"PayPal provides online payment solutions to its users. It enables its users to transact money through their account balances, bank accounts, credit cards, or promotional financing without sharing financial information.The company serves individuals who purchase through online stores across the globe and businesses worldwide. It has a strategic relationship with Facebook. PayPal was formerly known as X.com Corp. and changed its name to PayPal in March 2000.PayPal has quickly become a global leader in online payment solutions with more than 153 million accounts worldwide. Available in 190 markets and 24 currencies around the world, PayPal facilitates global e-commerce by making payments possible across different locations, currencies, and languages.The company was founded in 1998 and is based in San Jose, California. It has an additional office in Timonium, Maryland; a European headquarters in Luxembourg; and an international headquarters in Singapore. The company also has operation centers in Berlin; Chandler, Arizona; Dublin and Dundalk, Ireland; La Vista, Nebraska; Petaling Jaya, Malaysia; Sao Paulo, Brazil; and Shanghai, China. PayPal, Inc. has development centers in Scottsdale, Arizona; Austin, Texas; Chennai and Bangalore, India; Singapore; and Tel Aviv, Israel. Currently, PayPal operates as a subsidiary of eBay Inc.",,https://www.crunchbase.com/organization/paypal#/entity,,
3QI9WAYOGRIIOH8LH13VBQOGJNOS6G,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,31JLPPHS2W27GQR4HKTP82XFCEE3O7,A2WQWHBN0BF4U7,Submitted,Thu Apr 06 08:37:57 PDT 2017,Thu Apr 06 08:38:54 PDT 2017,Fri Apr 07 08:38:54 PDT 2017,,,,57,0% (0/0),0% (0/0),0% (0/0),phillips,Phillips is a food service company offering seafood such as crab at reasonable prices.,,https://www.crunchbase.com/organization/phillips#/entity,,
34R3P23QHT8RSN9BXP4056GRYE0WH0,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3I0BTBYZAZTNTCW94KK48VXANCSY0H,A3F6SDO4GYBE4Y,Submitted,Thu Apr 06 08:35:34 PDT 2017,Thu Apr 06 08:36:19 PDT 2017,Fri Apr 07 08:36:19 PDT 2017,,,,45,0% (0/0),0% (0/0),0% (0/0),prudential,"Leveraging its heritage of life insurance and asset management expertise, Prudential is focused on helping approximately 50 million individual and institutional customers grow and protect their wealth. Prudential businesses offer a variety of products and survices including life insurance, annuities, retirement-related services, mutual finds, investment management, and real estate services.Prudential Financial, Inc., also known by its primary subsidiary The Prudential Insurance Company of America, is a Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail and institutional customers throughout the United States and in over 30 other countries. Principal products and services provided include life insurance, annuities, mutual funds, pension- and retirement-related investments, administration and asset management, securities brokerage services, and commercial and residential real estate in many states of the U.S. It provides these products and services to individual and institutional customers through distribution networks in the financial services industry. Prudential has operations in the United States, Asia, Europe and Latin America and has organized its principal operations into the Financial Services Businesses and the Closed Block Business.Prudential is composed of hundreds of subsidiaries and holds more than $2 trillion of life insurance. The company uses the Rock of Gibraltar as its logo.",,https://www.crunchbase.com/organization/prudential-financial,,
3PKVGQTFIIR86MIE8VYI473DWVYYRY,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,32AT8R96GNH6DCWG3L6ZFGXGMG0SU0,A3F6SDO4GYBE4Y,Submitted,Thu Apr 06 08:34:39 PDT 2017,Thu Apr 06 08:35:34 PDT 2017,Fri Apr 07 08:35:34 PDT 2017,,,,55,0% (0/0),0% (0/0),0% (0/0),purina,Nestle Purina is dedicated to enhance the lives of Pet animals. They provide pet care products worldwide by their affiliates.,,https://www.crunchbase.com/organization/nestle-purina-petcare#/entity,,
329E6HTMSX9L3F8VTQWVD1LMS29K3L,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3PB5A5BD0XE1PWBTVDJ7GA0TQU8G71,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:33:02 PDT 2017,Thu Apr 06 08:38:43 PDT 2017,Fri Apr 07 08:38:43 PDT 2017,,,,341,100% (3/3),100% (3/3),100% (3/3),regions,"Regions Financial is a finance company and it has launched regions mobile deposit for their customer. Regions Financial Corporation was formed in 1971 as First Alabama Bancshares Inc., Alabama 's first multibank holding company. With the combination of three well-respected banks, the holding company began operations with a total of $543 million in assets and 40 banking locations in Birmingham , Huntsville and Montgomery.",,https://www.crunchbase.com/organization/regions-financial#/entity,,
3PGQRAZX03RK71IRNKYNUH89IXHYSM,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,33CID571061ZA5O74SDXGLTLH993LQ,A3G8NSPRF986WP,Submitted,Thu Apr 06 08:37:37 PDT 2017,Thu Apr 06 08:38:59 PDT 2017,Fri Apr 07 08:38:59 PDT 2017,,,,82,0% (0/0),0% (0/0),0% (0/0),sunoco,"The Susser family's gasoline business began when Minna Schwartz won the heart of an entrepreneur. In 1938 her husband, Sam Susser, took over operation of two service stations in Corpus Christi, Texas that Minna had inherited, and they began selling fuel to local companies. The business has flourished, and today, Susser is the largest non-refiner fuel distributor in Texas, supplying fuel to more than 2,400 convenience stores, service stations and commercial fuel customers in Texas, Oklahoma and Louisiana. Sam and Minna's two sons, Jerry and Sam J., joined Susser Petroleum Company in the 1960s. Together, they invented the first ‰ÛÏpay-at-the-pump‰Û system that allowed customers to purchase gasoline with a credit card from unattended stations. Sam J.'s son, Sam L. Susser, joined the business in 1988. The Company began building its retail convenience store business with the acquisition of 26 7-Eleven stores in 1988, and today there are more than 560 Stripeså¨ convenience stores in operation.",,https://www.crunchbase.com/organization/sun-oil-company-sunoco#/entity,,
3ABAOCJ4R9B804E0CDL75M61RZIMQV,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,37TD41K0AJHARIFGHULZLABAFGTSCQ,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:32:52 PDT 2017,Thu Apr 06 08:36:24 PDT 2017,Fri Apr 07 08:36:24 PDT 2017,,,,212,100% (3/3),100% (3/3),100% (3/3),the-north-face,"The North Faceå¨, a Division of VF Corporation, is the leading outdoor lifestyle company. Our philosophy is centered on teamwork and helping others to excel and push their boundaries. With more than 40 years in the outdoor industry, The North Faceå¨ is the premier supplier of authentic, innovative and technologically advanced exploration apparel, footwear, equipment and accessories.",,https://www.crunchbase.com/organization/the-north-face-emea#/entity,,
3RZS0FBRWLHAR61UZBC42LBFSPSPCP,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3JNQLM5FT6UAPNSO0SZSXBOTBV8L2W,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:33:03 PDT 2017,Thu Apr 06 08:39:53 PDT 2017,Fri Apr 07 08:39:53 PDT 2017,,,,410,100% (3/3),100% (3/3),100% (3/3),walgreens,"Walgreens (www.walgreens.com) is the nation's largest drugstore chain with fiscal 2010 sales of $67 billion. The company operates 7,689 drugstores in all 50 states, the District of Columbia and Puerto Rico. Each day, Walgreens provides nearly 6 million customers the most convenient, multi-channel access to consumer goods and services and trusted, cost-effective pharmacy, health and wellness services and advice in communities across America. Walgreens scope of pharmacy services includes retail, specialty, infusion, medical facility and mail service, along with respiratory services. These services improve health outcomes and lower costs for payers including employers, managed care organizations, health systems, pharmacy benefit managers and the public sector. Take Care Health Systems is a Walgreens subsidiary that is the largest and most comprehensive manager of worksite health centers and in-store convenient care clinics, with more than 700 locations throughout the country.",,https://www.crunchbase.com/organization/walgreens#/entity,,
39KV3A5D19E1SHMQ0B8NH4OCEY8S7F,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3OF2M9AATIWPBSDI4ZW55MLL742KZ0,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:32:51 PDT 2017,Thu Apr 06 08:36:02 PDT 2017,Fri Apr 07 08:36:02 PDT 2017,,,,191,100% (3/3),100% (3/3),100% (3/3),walt-disney,{},on,https://www.crunchbase.com/organization/walt-disney-studios#/entity,,
3R16PJFTS4Y6LBRZT41EN6DS625K46,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,374TNBHA8D3BH518LIEJN1OS0GQQY7,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:38:10 PDT 2017,Thu Apr 06 08:41:04 PDT 2017,Fri Apr 07 08:41:04 PDT 2017,,,,174,100% (3/3),100% (3/3),100% (3/3),wells-fargo,"Wells Fargo & Company is a diversified financial services company with $1.3 trillion in assets, providing banking, insurance, investments, mortgage and consumer finance through more than 10,000 stores, over 12,000 ATMs and the internet across North America and internationally.Wells Fargo & Company is an American multinational banking and financial services holding company with operations around the world. Wells Fargo is the fourth largest bank in the U.S. by assets and the largest bank by market capitalization. Wells Fargo is the second largest bank in deposits, home mortgage servicing, and debit cards. In 2011, Wells Fargo was the 23rd largest company in the United States. Wells Fargo is headquartered in San Francisco, California, with ""hubquarters"" throughout the country.In 2007 it was the only bank in the United States to be rated AAA by S&P, though its rating has since been lowered to AA‰öÕ in light of the financial crisis of 2007‰ÛÒ2012. The firm's primary U.S. operating subsidiary is national bank Wells Fargo Bank, N.A., which designates its main office as Sioux Falls, South Dakota.Wells Fargo in its present form is a result of a merger between San Francisco-based Wells Fargo & Company and Minneapolis-based Norwest Corporation in 1998 and the subsequent 2008 acquisition of Charlotte-based Wachovia. Following the mergers, the company transferred its headquarters to Wells Fargo's headquarters in San Francisco and merged its operating subsidiary with Wells Fargo's operating subsidiary in Sioux Falls.In 2012, Wells Fargo had more than 9,000 retail branches and over 12,000 automated teller machines in 39 states and the District of Columbia. A ""Big Four bank"", it has over 270,000 employees and over 70 million customers. As of July 12, 2013, Wells Fargo became the world's biggest bank by market capitalization, worth $236 billion.",,https://www.crunchbase.com/organization/wells-fargo-bank#/entity,,
