name,brand_identity,url
csx,"CSX Corporation, together with its subsidiaries based in Jacksonville, Fla., is one of the nation's leading transportation suppliers. The companyâ€™s rail and intermodal businesses provide rail-based transportation services including traditional rail service and the transport of intermodal containers and trailers.Overall, the CSX Transportation network encompasses about 21,000 route miles of track in 23 states, the District of Columbia and the Canadian provinces of Ontario and Quebec. Our transportation network serves some of the largest population centers in the nation. Nearly two-thirds of Americans live within CSXâ€™s service territory.Our transportation network serves some of the largest population centers in the nation. Nearly two-thirds of Americans live within CSXâ€™s service territory.CSX serves major markets in the eastern United States and has access to over 70 ocean, river and lake port terminals along the Atlantic and Gulf Coasts, the Mississippi River, the Great Lakes and the St. Lawrence Seaway. The company also has access to Pacific ports through alliances with western railroads.CSX moves a broad portfolio of products across the country in a way that minimizes the effect on the environment, takes traffic off an already congested highway system, and minimizes fuel consumption and transportation costs.",https://www.csx.com/
invesco,"As one of the largest independent global investment managers, Invesco Ltd. is dedicated to helping people worldwide build their financial security.Invesco strives to deliver outstanding products and services through a comprehensive array of enduring investment solutions for our retail, institutional and private wealth management clients around the world.Invesco is an independent investment management firm dedicated to delivering an investment experience that helps people get more out of life.Our single focus is to help clients achieve their investment objectivesWe are well-positioned to help clients achieve their investment objectives, due to our:We believe the best investment insights come from specialized investment teams with discrete investment perspectives, operating under a disciplined philosophy and process with strong risk oversight. Our pure focus on investment management eliminates the distractions that compromise results.As an independent firm, our global organization is solely focused on investment management. We direct all of our intellectual capital, global strength and operational stability toward helping clients achieve their investment objectives.",http://www.invesco.com
qvc,"Exactly how do you change the way the world shops? At QVC, we do it every day by offering a curated, ever-changing collection of name brands and unique finds. And by bringing together a dynamic community of engaged personalities, relatable experts, dedicated team members, and passionate shoppers. And by creating a seamless, worry-free experience thatâ€™s available on every platform, accessible by every screen, every minute of the dayâ€”in nine countries and counting. Discover for yourself why QVC is the worldâ€™s leading digital retailer. And so much more.",http://www.qvc.com/
phillips,"Phillips is a health technology company based in the Netherlands, that integrates advanced technology and deep clinical and consumer insights to improve peopleâ€™s health and enable better outcomes across the health continuum from healthy living and prevention, to diagnosis, treatment and home care.",http://www.usa.philips.com/
dhl,"DHL is present in more than 220 countries and territories of the planet, this makes us the most international company in the world. With more than 340,000 employees, we provide solutions for almost an infinite amount of logistics needs.DHL is part of the world's leading postal and logistics company Deutsche Post DHL Group and includes DHL Express, DHL Parcel, DHL eCommerce, DHL Global Forwarding, DHL Freight and DHL Supply Chain.We want to connect people and improve their lives. And we do it because we are inflexibly customer-focused, delivering excellence every day.Being the Logistics Company for the World goes much further than our global presence in more than 220 countries and territories. That is, it transcends our unique ability to offer a remarkable range of logistics solutions.We want to be the logistics company that people come to, because it covers shipping needs, professional and investment opportunities, and is the worldwide benchmark of responsible business practices.",http://www.dhl.com/en.html
disney,"Compliance training, including training regarding the Company's Standards of Business Conduct and ethics, is provided to employees worldwide through the Company's learning management system. It is the Company's intent, through its compliance training, to ensure that all of its employees have the knowledge and training to act ethically and legally, in compliance with the Company's Standards of Business Conduct.",http://corporate.disney.in
discovery-media,"Discovery Media offers its interlocutors communications solutions that go beyond display advertising. The Discovery content are offered to clients without intermediary and always in the logic of creating a partnership based on proximity to the brand values.Discovery Media has within it a dedicated licensing structure and the Brand Solutions. The first endorsement develops projects and product lines linking them to various product categories to channel brands and content most successful portfolio. The second enhances the traditional methods of advertising and provides customers with communication events related to publishing and personalized content compared to other brands.",http://www.discoverymedia.com/chi-siamo/
fiserv-inc,"We're proud to spotlight a few of the distinctions and accolades we've received at the local, national and global level, along with some of the accolades our clients have received for their use of Fiserv technology solutions to deliver essential financial services experiences to their customers.",https://www.fiserv.com/about/awards.aspx
leucadia-national-corporation,"Leucadia National Corporation is an American holding company that, through its subsidiaries, engages in mining & drilling services, telecommunications, healthcare services, manufacturing, banking and lending, real estate, and winery businesses with a market cap of about $8.0 billion as of June 15, 2011. Largest current investments include Jefferies. The company is sometimes called a ""baby Berkshire Hathaway"" for the wide range of its holdings.",https://www.leucadia.com/
devon,"We are an independent charity with over 50 yearsâ€™ experience of community development work. Founded in 1961 we have accumulated a wealth of experience in helping communities resolve and progress the matters that are important to them.DynamicDevon Communities Together is constantly evolving, keeping pace with the ever changing social, cultural and economic needs of communities, yet our foundation is in those basic needs that never change. We have the flexibility to support our vision of dynamic communities shaping their own futures.",https://www.devoncommunities.org.uk
foot-locker,"Foot Locker is a leading global athletic footwear and apparel retailer, which caters to the sneaker enthusiast - If itâ€™s at Foot Locker, itâ€™s Approved. Its stores offer the latest in athletically-inspired footwear and apparel, manufactured primarily by the leading athletic brands. Foot Locker provides the best selection of premium products for a wide variety of activities, including basketball, running, and training. Additionally, we operate 178 House of Hoops, primarily a shop-in-shop concept, which sells premier basketball-inspired footwear and apparel. Foot Lockerâ€™s 1,835 stores are located in 23 countries including 1,015 in the United States, Puerto Rico, U.S. Virgin Islands, and Guam, 126 in Canada, 603 in Europe, and a combined 91 in Australia and New Zealand. The domestic stores have an average of 2,500 selling square feet and the international stores have an average of 1,500 selling square feet.",http://www.footlocker-inc.com
burger-king,"Every day, more than 11 million guests visit BURGER KINGÂ® restaurants around the world. And they do so because our restaurants are known for serving high-quality, great-tasting, and affordable food. Founded in 1954, BURGER KINGÂ® is the second largest fast food hamburger chain in the world. The original HOME OF THE WHOPPERÂ®, our commitment to premium ingredients, signature recipes, and family-friendly dining experiences is what has defined our brand for more than 50 successful years.",https://www.bk.com/about-bk
dillards,"With more than 40,000 employees in stores and operations centers in 29 states, Dillardâ€™s employees reflect both the local communities we serve and the people with whom we do business. We see our diversity as a key part of our creativity, innovation and competitive advantage in the changing retail environment.",http://careers.dillards.com/Careers/diversity
harley-davidson,"The Harley Owners GroupÂ® is the official riding club ofHarley-Davidson that offers a wide variety of memberbenefits, membership options, and events. It is muchmore than just a motorcycle organization. It's onemillion people around the world, united by a commonpassion: making the Harley-Davidson dream a way of life.Harley-Davidson India is leading the way in developinga strong leisure motorcycling culture in the country.With over 12,000 Harley-Davidson motorcycles on theroad in India the company continues to invest in Indiaas it embraces more and more people into the Harley-Davidson lifestyle.",http://www.harley-davidson.com
sanmina-corporation,"Sanmina makes some of the most complex and innovative optical, electronic and mechanical products in the world. Recognized as a technology leader, Sanmina provides end-to-end design, manufacturing and logistics solutions, delivering superior quality and support to Original Equipment Manufacturers (OEMs) primarily in the communications networks, computing and storage, medical, defense and aerospace, industrial and semiconductor, multimedia, automotive and clean technology sectors.",http://www.sanmina.com
tenet-healthcare-corp,"At Tenet Healthcare, weâ€™ve had a longstanding commitment to serving our patients, employees, physicians and partners.Today, weâ€™re a leading healthcare services company working across the system to improve service delivery and patient outcomes.",https://www.tenethealth.com
raytheon,"Raytheon Company is a technology and innovation leader specializing in defense, civil government and cybersecurity solutions. Founded in 1922, Raytheon provides state-of-the-art electronics, mission systems integration, capabilities in C5I (command, control, communications, computing, cyber and intelligence), sensing, effects and mission support services. Raytheon is headquartered in Waltham, Massachusetts.",http://www.raytheon.com
chevrolet,"Chevroletâ€™s early adoption of landmark technologies fundamentally changed the way the world looked at cars. From the very start, the focus was on delivering high end technology and features for its lineup of affordable cars and trucks. The first Chevrolet â€” the Series C Classic Six â€” came with electric starters and electric headlamps, a rarity even in luxury cars. In the decades that followed, innovations such as safety glass, fuel injection, anti-lock brakes and electronic stability control systems were featured on Chevrolet models.",http://www.chevrolet.co.in
infosys,"seven engineers started Infosys Limited with just US$250.Today, Infosys is a global leader in next-generation IT and consulting, with revenues of US$7.4 billion. From its inception, the company was founded on the principle of building and implementing great ideas that drive progress for clients and enhance lives through enterprise solutions.The companyâ€™s service offerings span business and technology consulting, application services, systems integration, product engineering, custom software development, maintenance, re-engineering, independent testing and validation, business process outsourcing, and IT infrastructure services.",https://www.infosys.com
rockwell-automation,"Rockwell Automation, the world's largest company dedicated to industrial automation, makes its customers more productive and the world more sustainable. Throughout the world, our flagship Allen-BradleyÂ® and Rockwell SoftwareÂ® product brands are recognized for innovation and excellence.",http://www.rockwellautomation.com
cinemark,"Cinemark USA, Inc. is an American movie theatre chain owned by Cinemark Holdings, Inc. operating throughout the Americas and in Taiwan. It is headquartered in Plano, Texas in the Dallas-Fort Worth area.As of December 31, 2013, the Cinemark circuit is geographically diverse and is the third largest in the United States with 495 theatres and 4,457 screens in 40 states.[1] It is the most geographically diverse circuit in Latin America with 148 theatres and 1,106 screens in 12 countries;[1] it is the largest movie theatre chain in Brazil, with a 30% market share.[3] Cinemark also holds the spot of second largest circuit internationally.",https://www.cinemark.com
unum-group,"Since our founding in 1848, Unum has been known for breaking new ground in the business of benefits. Integrity, determination, innovation and leadership were at the core of our company 165 years ago, and they are just as relevant to our business today.Just as long-lasting has been our commitment to being there when people need us most, a simple but compelling philosophy that began before the Civil War during a time when investing in insurance to protect yourself from the financial effects of illness and injury was a radical idea. We persevered during the fledgling insurance landscape then, and we're equally committed today to educating consumers about the value of financial protection benefits.",http://www.unumgroup.com/About/History
mountain-dew,"We and our partners display interest-based advertising using information gathered about you over time across multiple websites or other platforms. This might include apps.Interest-based advertising or ""online behavioral advertising"" includes ads served to you after you leave our website, encouraging you to return. They also include ads we think are relevant based on your shopping habits or online activities. These ads might be served on websites or on apps. They might also be served in emails. We might serve these ads, or third parties may serve ads. They might be about our products or other companies' products.",http://policy.mountaindew.com/aboutads.htm
nbc,"The National Broadcasting Company (NBC) is an American commercial broadcast television network that is the flagship property of NBCUniversal, a subsidiary of Comcast. The network is headquartered in the Comcast Building (formerly known as the GE Building) at Rockefeller Center in New York City, with additional major offices near Los Angeles (at Universal City Plaza), Chicago (at the NBC Tower) and soon in Philadelphia at Comcast Innovation and Technology Center. The network is part of the Big Three television networks. NBC is sometimes referred to as the ""Peacock Network"", in reference to its stylized peacock logo, which was originally created in 1956 for its then-new color broadcasts and became the network's official emblem in 1979.",http://www.nbc.com/
whole-foods,"we seek out the finest natural and organic foods available, maintain the strictest quality standards in the industry, and have an unshakeable commitment to sustainable agriculture. Add to that the excitement and fun we bring to shopping for groceries, and you start to get a sense of what weâ€™re all about. Oh yeah, weâ€™re a mission-driven company too.",http://www.wholefoodsmarket.com/company-info
pfizer,"Good health is vital to all of us, and finding sustainable solutions to the most pressing health care challenges of our world cannot wait. That's why we at Pfizer are committed to applying science and our global resources to improve health and well-being at every stage of life. We strive to provide access to safe, effective and affordable medicines and related health care services to the people who need them.We have a leading portfolio of products and medicines that support wellness and prevention, as well as treatment and cures for diseases across a broad range of therapeutic areas; and we have an industry-leading pipeline of promising new products that have the potential to challenge some of the most feared diseases of our time, like Alzheimer's disease and cancer.",http://www.pfizer.com/about
huntington-ingalls-industries,"Huntington Ingalls Industries is Americaâ€™s largest military shipbuilding company and a provider of professional services to partners in government and industry. For more than a century, HIIâ€™s Newport News and Ingalls shipbuilding divisions in Virginia and Mississippi have built more ships in more ship classes than any other U.S. naval shipbuilder. HIIâ€™s Technical Solutions division provides a wide range of professional services through its Fleet Support, Integrated Missions Solutions, Nuclear & Environmental, and Oil & Gas groups. Headquartered in Newport News, Virginia, HII employs nearly 37,000 people operating both domestically and internationally.",http://www.huntingtoningalls.com
marlboro,"It is made by Philip Morris USA (a branch of Altria) within the United States, and by Philip Morris International (now separate from Altria) outside the United States. It is well known for its billboard advertisements, magazine ads of the Marlboro Man, and its long associated history in the sponsorship of motorsport. Richmond, Virginia, is the location of the largest Marlboro cigarette manufacturing plant.",https://gtc.marlboro.com
oxy,"Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company with operations in the United States, Middle East and Latin America. Headquartered in Houston, Occidental is one of the largest U.S. oil and gas companies, based on equity market capitalization. Occidental's midstream and marketing segment gathers, processes, transports, stores, purchases and markets hydrocarbons and other commodities. Occidental's wholly owned subsidiary, OxyChem, is a major North American chemical manufacturer.",http://www.oxy.com/aboutOccidental/Pages/default.aspx
nucor-corporation,"Nucor Corporation is an American producer of steel and related products. It currently ranks as the largest steel producer in the United States of America and is the largest ""mini-mill"" steelmaker.",http://www.nucor.com
nisource,"NiSource, Inc. is one of the largest fully regulated utility companies in the United States, serving approximately 3.5 million natural gas customers and 500,000 electric customers across seven states through its local Columbia Gas and NIPSCO brands.",https://www.nisource.com/company
terex-corporation,"Terex Corporation is a global manufacturer of lifting and material processing products and services delivering lifecycle solutions that maximize customer return on investment. Major Terex brands include Terex, Genie, Powerscreen and Demag.Terex solutions serve a broad range of industries, including construction, infrastructure, manufacturing, shipping, transportation, refining, energy, utilities, quarrying and mining.Terex offers financial products and services to assist in the acquisition of Terex equipment through Terex Financial Services.",http://www.terex.com
santander,"Simple, Personal & Fair embodies how all Santander's professionals think and operate, and represents what our customers expect of us as a bank. It defines how we conduct business and take decisions, and the way in which we interact with customers, shareholders and society.",http://www.santander.com/csgs/Satellite/CFWCSancomQP01/en_GB/Corporate/About-The-Group/Corporate-culture.html?wpid=1278701177014
spirit-aerosystems-holdings,"Spirit AeroSystems designs and builds aerostructures for both commercial and defense customers. With headquarters in Wichita, Kansas, Spirit operates sites in North America, Europe and Asia. Our core products include fuselages, pylons, nacelles and wing components. We focus on affordable, innovative composite and aluminum manufacturing solutions to support customers around the globe.",http://www.spiritaero.com
peabody-energy-corporation,"Peabody is the worldâ€™s largest private-sector coal company and a Fortune 500 company. The company is also a leading voice in advocating for sustainable mining, energy access and clean coal technologies. Peabody serves metallurgical and thermal coal customers in more than 25 countries on five continents.",https://www.peabodyenergy.com
live-nation-entertainment,"Strong corporate governance, high ethical conduct, and good corporate citizenship have been foundations of Live Nation since its formation. We firmly believe that there is a real connection between these principles and our performance as a company, and that stockholder value is enhanced by our commitment to and practice of these principles.This Corporate Governance section of our website was established to provide you with insight about, among other things, our management team and board of directors, the composition and responsibilities of our board committees, our guidelines on corporate governance, and the code of ethics that governs the standards that every employee, officer, and director is required to follow in their service to Live Nation. We trust the materials available via this section will provide you with a full understanding of the importance of good corporate governance at Live Nation.",http://www.livenationentertainment.com/
visteon-corporation,"Visteon is at the epicenter of the connected car driving revolution, with one of the broadest cockpit electronics portfolios in the industry. Visteon designs, engineers and manufactures vehicle cockpit electronics products and connected car solutions that deliver a rich, connected experience for drivers and passengers.Visteon is well-positioned to address emerging cockpit electronics trends, with solutions including Phoenixâ„¢ infotainment, SmartCoreâ„¢ domain controllers and an autonomous driving approach that uses artificial intelligence and machine learning. Named a top-five Tier 1 supplier for connected car solutions by ABI Research, Visteon is technology-driven, flexible and enjoys a diversified customer base and broad global footprint.",http://www.visteon.com/
lincoln,"The Lincoln Motor Company (also known simply as Lincoln) is a division of the U.S.-based Ford Motor Company that sells luxury vehicles under the Lincoln brand. Founded in 1917 by Henry M. Leland, Lincoln has been a subsidiary of Ford since 1922. While currently sold primarily in North America, Ford introduced the Lincoln brand to China in 2014.[4] Lincoln vehicles are also officially sold in the Middle East and South Korea.",https://www.lincoln.com
cons-edison-inc,"Con Edison's principal business segments are Consolidated Edison Company of New York, a regulated electric, gas, and steam utility; Orange & Rockland Utilities (O&R), a regulated electric and gas utility; Con Edison Clean Energy Businesses, Inc., and Con Edison Transmission, Inc.",https://www.conedison.com/en
actavis,"Building on its strong global footprint, size and scale, Teva is reaffirming its commitment to place people at the center of our strategy, and enable as many as possible to live better, healthier days. Teva is committed to increasing access to high-quality healthcare for people across the globe, at every stage of life. We do this by developing, producing and marketing affordable generic drugs as well as innovative and specialty pharmaceuticals and active pharmaceutical ingredients.",http://www.tevapharm.com
nationwide-mutual-insurance-co,"Nationwide Financial Services (NFS), a component of the group, was partially floated on the New York Stock Exchange prior to being repurchased by Nationwide Mutual in 2009. It had owned the majority of NFS common stock since it had gone public in 1997.",https://www.nationwide.com
regions,"Three foundational elements serve as the basis of our culture: our values, our mission, and our vision. We list them in this order for a reason: our values guide our day-to-day life, how we treat customers and each other, and the expectations for how we behave. Our mission defines our corporate purpose and answers the question, â€œWhat do we want to accomplish when we work together?â€ù And our vision is what we aspire to, what we want the company to look like when we follow the values in service of our mission.",https://www.regions.com
xbox,"Xbox is a video gaming brand created and owned by Microsoft. It represents a series of video game consoles developed by Microsoft, with three consoles released in the sixth, seventh, and eighth generations respectively. The brand also represents applications (games), streaming services, and an online service by the name of Xbox Live. The brand was first introduced on November 15, 2001 in the United States, with the launch of the original Xbox console.",http://www.xbox.com/en-in/
t.j.-maxx,"The company is part of the TJX Companies, which also owns HomeGoods/HomeSense, and 'off-price' retail chains Sierra Trading Post in the United States, Marshalls in the U.S. and Canada, and Winners in Canada. Under the name T.K. Maxx, its parent company TJX operates stores throughout the United Kingdom, Ireland, Germany, Australia - trading as TJ Maxx and Trade Secret, Poland, Austria and The Netherlands.[3] It offers men's, women's and children's apparel and shoes, as well as other areas such as toys, bath and beauty, accessories, and home products ranging from furniture to kitchen utensils.",http://tjmaxx.tjx.com/
visa,"From the creation of one of the first general-purpose credit cards 50 years ago to the latest in mobile payments person-to-person payments and international remittances, Visa has always been an innovator. Visa's fundamental approach to innovation focuses on enhancing our current product platforms and extending the utility of our products and services to new merchant segments and geographies. Visa innovations enable more people in more places to enjoy the benefits of electronic payments at any time, in any location, using a multitude of devices.",http://www.visa.co.in/ap/in/aboutvisa/innovation/innovation.shtml
petsmart,"PetSmart, Inc. is the largest specialty pet retailer of services and solutions for the lifetime needs of pets. At PetSmart, we love pets, and we believe pets make us better people. Every day with every connection, PetSmartâ€™s passionate associates help bring pet parents closer to their pets so they can live more fulfilled lives. This vision impacts everything we do for our customers, the way we support our associates, and how we give back to our communities.",http://www.petsmart.com/
chesterfield,"Away From The Hustle-Bustle Of Corporate Life, Comes A Unique Gem To Transform Your Lifestyle. It Gives You The Opportunity To Wake Up To Exotic Landscapes, Cherish The Playfulness Of The Skies And Enjoy The Intimacies Of Life. Here, Every Moment Is A Celebration Of Your Success. Every Feature Is A Reflection Of Your Choice And Every Minute Detail Is Synonymous With Perfection. It Is A Discovery Of Renewed Energies, Revitalized Spirits And Refined Lifestyles. It Is An Experience Only A Select Few Can Call Home. It Is The Gateway To Your Fortune, Also Known As Chesterfield. Set In The Heart Of Puneâ€™s Rapidly Developing Area â€“ Dhanori, Chesterfield Is An Opportunity For Residents To Elevate Their Life. The Exclusive 2 BHK PLUS Homes Flaunt A Lifestyle Of Luxury And Opulence. These Value-For-Money Homes Ensure Maximum Utilization Of Space, Providing You With Spacious Rooms And Well-Planned Layouts. While Your Home Interiors Are Exceptionally Planned, The Outside Environment Is A World Full Of Happiness With A Unique Array Of Modern Amenities And Lively Celebrations. With The Convenience Shopping Within The Premises, You Wonâ€™t Need To Step Out For Your Daily Groceries As Well!",http://www.chesterfieldhomes.in/
sands-cotai-central,"Conrad Macao, Cotai Central is a world-class contemporary luxury resort located in Sands Cotai Central. Conrad Macao offers a truly personalized level of service that anticipates and meets the needs of our guests, whether staying for business or leisure, to create a unique and unforgettable experience. Named a Forbes Travel Guide Five-Star hotel in 2015, our hotel also was recognised as one of the Top 25 Luxury Hotels of China by TripAdvisor Travelers' ChoiceÂ® award 2015.",https://www.sandscotaicentral.com/
starbucks,"It has always been, and will always be, about quality. Weâ€™re passionate about ethically sourcing the finest coffee beans, roasting them with great care and improving the lives of people who grow them. We care deeply about all of this; our work is never done.Our PartnersWeâ€™re called partners, because itâ€™s not just a job, itâ€™s our passion. Together, we embrace diversity to create a place where each of us can be ourselves. We always treat each other with respect and dignity. And we hold each other to that standard.Our CustomersWhen we are fully engaged, we connect with, laugh with and uplift the lives of our customers â€“ even if just for a few moments. Sure, it starts with the promise of a perfectly made beverage, but our work goes far beyond that. Itâ€™s really about human connection.Our StoresWhen our customers feel this sense of belonging, our stores become a haven, a break from the worries outside, a place where you can meet with friends. Itâ€™s about enjoyment at the speed of life â€“ sometimes slow and savoured, sometimes faster. Always full of humanity.",http://www.starbucks.in/about-us/company-information/mission-statement
heinz,"The Heinz Company is a global leader in food and nutrition. We pride ourselves on the large variety of products that we manufacture to spread cheer and happiness across the world. The Indian affiliate of the Kraft Heinz Company started operations in 1994 (under erstwhile H.J. Heinz Company) and provides taste and nutrition to its consumers through brands like Complan, Glucon-D, Nycil, Heinz and Sampriti Ghee.The company employs about 2500 people, and is headquartered in Mumbai with four branch offices in key metros and two large manufacturing facilities in Aligarh and Sitarganj.",http://www.heinz.co.in
head-and-shoulders,"When Head & Shoulders launched in 1961, it was the first time people ever experienced the powerful dandruff eliminator, ZPT. Fifty years later, as the world's #1 shampoo, we're still leading the way in hair care that gives you confidence Clinically tested over 200 times, we are the most tested* and most trusted dandruff shampoo",http://www.headandshoulders.com/en-us/about/about-head-and-shoulders
